DR2.TI0974.PV              P-63B L.PROM
DR2.TI0975.PV              P-63B L.OPOR
DR2.TI0976.PV              P-64A L.PROM
DR2.TI0977.PV              P-64A L.OPOR
DR2.TI0978.PV              P-64B L.PROM
DR2.TI0979.PV              P-64B L.OPOR
DR2.TI0980.PV              TEMPERATURA LOZYSKA
DR2.TI0981.PV              P-67B L.OPOR
DR2.TI0982.PV              TEMPERATURA LOZYSKA
DR2.TI0983.PV              TEMPERATURA LOZYSKA
DR2.TI3301.PV              SILNIK POMPY P-23 - TEMP. LOZYSKA SILNIKA
DR2.TI3302.PV              SILNIK POMPY P-23 - TEMP. LOZYSKA SILNIKA
DR2.TI3303.PV              SILNIK POMPY P-23 - TEMP. UZWOJENIA 1
DR2.TI3304.PV              SILNIK POMPY P-23 - TEMP. UZWOJENIA 2
DR2.TI4901.PV              SILNIK POMPY P-49 - TEMP. LOZYSKA SILNIKA
DR2.TI4902.PV              SILNIK POMPY P-49 - TEMP. LOZYSKA SILNIKA
DR2.TI4903.PV              SILNIK POMPY P-49 - TEMP. UZWOJENIA 1
DR2.TI4904.PV              SILNIK POMPY P-49 - TEMP. UZWOJENIA 2
DR2.TI5305.PV              MB-12 LOZ.1
DR2.TI5801.PV              SILNIK POMPY P-68 - TEMP. LOZYSKA SILNIKA
DR2.TI5802.PV              SILNIK POMPY P-68 - TEMP. LOZYSKA SILNIKA
DR2.TI5803.PV              SILNIK POMPY P-68 - TEMP. UZWOJENIA 1
DR2.TI5804.PV              SILNIK POMPY P-68 - TEMP. UZWOJENIA 2
DR2.TIMBIL1D_TID.PV  ILOSC SEKUND DO KONCA DOBY
DR2.TIS0061.PV            WYJ.PROD.Z PC-1 STR. 1
DR2.TIS0062.PV            WYJ.PROD.Z PC-1 STR. 2
DR2.TIS0063.PV            WYJ.PROD.Z PC-1 STR. 3
DR2.TIS0064.PV            WYJ.PROD.Z PC-1 STR. 4
DR2.TIS0065.PV            WYJ.PROD.Z PC-1 STR. 5
